name,type,franchise,brand,year,condition,acquired,cost,value,notes,isSold,soldDate,soldPrice,ebayListed,ebaySold
Lot ~ Bundle x8 Vintage Action Figures,Action Figures,Teenage Mutant Ninja Turtles,Playmates,1990,Used - complete,27/3/19,£19,,,FALSE,,,,
Vintage 1980s He-Man Greyskull Figures Joblot,Action Figures,Masters of the Universe,Mattel,1985,Used - complete,29/3/19,£90,,,FALSE,,,,
Darkstorm MOC UKG,Action Figures,Visionaries,Hasbro,1987,Used - complete,13/04/19,£95,,,FALSE,,,,
Cravex MOC UKG,Action Figures,Visionaries,Hasbro,1987,Used - complete,13/04/19,£95,,,FALSE,,,,
Lexor MOC UKG,Action Figures,Visionaries,Hasbro,1987,Used - complete,13/04/19,£95,,,FALSE,,,,
Leoric Vintage Sealed UKG Graded 85 Mint on Card MOC,Action Figures,Visionaries,Hasbro,1987,Used - complete,13/04/19,£98,,,TRUE,25/11/23,271,,
Arzon MOC Figures UKG,Action Figures,Visionaries,Hasbro,1987,Used - complete,13/04/19,£98,,,TRUE,13/01/24,251,,
Cryotek Vintage Sealed UKG Graded 75 Mint on Card MOC,Action Figures,Visionaries,Hasbro,1987,Used - complete,13/04/19,£98,,,TRUE,14/12/23,243,,
Turtles Playmates Bandai 1990 44 Back MOC UKG Graded Rocksteady AFA,Action Figures,Teenage Mutant Ninja Turtles,Playmates,1990,Used - complete,26/04/19,£54,,,TRUE,30/06/20,162,,
Wacky Action Sword Slicing Leonardo Vintage Sealed MOC MOSC,Action Figures,Teenage Mutant Ninja Turtles,Playmates,1990,Used - complete,13/05/19,£21,,,TRUE,15/02/25,59,,
Vintage Muckman & Joe Eyeball Toy,Action Figures,Teenage Mutant Ninja Turtles,Playmates,1990,Used - complete,01/06/19,£22,,,FALSE,,,,
King Hiss,Action Figures,Masters of the Universe,Mattel,1987,Used - complete,03/07/19,£23,,,FALSE,,,,
SDCC 2019 He-Man & Prince Adam Figures 2 Pack,Action Figures,Masters of the Universe,Mattel,2019,Used - complete,24/07/19,£126,,,TRUE,08/06/20,280,,
Pretender - Japan,Action Figures,Transformers,Hasbro,1987,Used - complete,09/2019,£124,,,FALSE,,,,
Beast Wars Megatron - Japan,Action Figures,Transformers,Takara,1987,Used - complete,09/2019,£28,,,FALSE,,,,
Sky Claw MIB New,Action Figures,Visionaries,Hasbro,1987,Used - complete,10/02/20,£97,,,FALSE,01/07/20,149,,
Sky Claw MIB New,Action Figures,Visionaries,Hasbro,1987,Used - complete,14/02/20,£76,,,FALSE,,,,
Tung Lashor w/ Adora,Action Figures,Masters of the Universe,Filmation,1987,Used - complete,03/03/20,£80,,,FALSE,,,,
Animation Art ORKO and CRINGER Cel,"Movie, TV Show Memorabilia",Masters of the Universe,Filmation,1987,Used - complete,16/02/20,£35,,,FALSE,,,,
G1 Seacons,Action Figures,Transformers,Hasbro,1987,Used - complete,13/06/20,£24,,,FALSE,,,,
Vintage G1 Seacon Snaptrap Feet,Action Figures,Transformers,Hasbro,1987,Used - complete,10/06/20,£10,,,FALSE,,,,
G1 HASBRO 1988 DECEPTICON PIRANACON HEAD,Action Figures,Transformers,Hasbro,1987,Used - complete,10/06/20,£4,,,FALSE,,,,
"G1 Vintage Seacons - Seawing, Skalor, Snap Trap & Tentakil",Action Figures,Transformers,Hasbro,1987,Used - complete,24/06/20,£40,,,TRUE,27/02/22,24,,
Brutus The Barber Beefcake MOC,Action Figures,WWF,Hasbro,1993,Used - complete,04/07/20,£78,,,TRUE,21/01/25,85,,
NECA Bebop & Rocksteady Figure 2 Pack,Action Figures,Teenage Mutant Ninja Turtles,Neca,1990,Used - complete,07/07/20,£79,,,FALSE,,,,
Leatherhead & Slash 2 Pack,Action Figures,Teenage Mutant Ninja Turtles,Neca,1990,Used - complete,20/07/20,£57,,,TRUE,03/03/22,93,,
NECA Cartoon Ultimate Metalhead,Action Figures,Teenage Mutant Ninja Turtles,Neca,1990,Used - complete,10/09/20,£30,,,FALSE,,,,
Super7 Wave 1 Ultimate Baxter Stockman Figure,Action Figures,Teenage Mutant Ninja Turtles,Super7,1990,Used - complete,07/09/20,£50,,,FALSE,,,,
G1 Scorponok Helmet,Action Figures,Transformers,Hasbro,1987,Used - complete,18/12/20,£25,,,FALSE,,,,
